No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
94,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D8s,2,8,32,64,0.836
95,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D16s,2,16,64,128,1.672
96,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D32s,2,32,128,256,3.344
97,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D48s,2,48,192,384,5.016
98,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D64s,2,64,256,512,6.688
99,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D2s,2,2,8,0,0.204
100,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D4s,2,4,16,0,0.408
101,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D8s,2,8,32,0,0.816
102,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D16s,2,16,64,0,1.632
103,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D32s,2,32,128,0,3.264
104,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D48s,2,48,192,0,4.896
105,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D64s,2,64,256,0,6.528
106,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F1,1,1,2,16,0.108
107,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F2,1,2,4,32,0.216
108,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F4,1,4,8,64,0.433
109,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F8,1,8,16,128,0.866
110,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F16,1,16,32,256,1.732
111,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fs-series,F1s,1,1,2,4,0.108
112,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fs-series,F2s,1,2,4,8,0.216
113,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fs-series,F4s,1,4,8,16,0.433
114,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fs-series,F8s,1,8,16,32,0.866
115,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fs-series,F16s,1,16,32,64,1.732
116,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F2s v2,2,2,4,16,0.198
117,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F4s v2,2,4,8,32,0.396
118,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F8s v2,2,8,16,64,0.792
119,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F16s v2,2,16,32,128,1.584
120,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F32s v2,2,32,64,256,3.168
121,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F48s v2,2,48,96,384,4.754
122,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F64s v2,2,64,128,512,6.336
123,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F72s v2,2,72,144,576,7.128
124,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC_T4_v3-series,NC4as T4 v3,1,4,28,180,0.815
125,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC_T4_v3-series,NC8as T4 v3,1,8,56,630,1.27
126,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC_T4_v3-series,NC16as T4 v3,1,16,112,360,2.181
127,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC_T4_v3-series,NC64as T4 v3,1,64,448,2880,8.166
128,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC-series promo,NC6 프로모션,1,6,56,340,0.751
129,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC-series promo,NC12 프로모션,1,12,112,680,1.502
130,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC-series promo,NC24 프로모션,1,24,224,1440,3.005
131,Virtual Machine,West US,Windows,OS only,Standard,GPU,NC-series promo,NC24r 프로모션,1,24,224,1440,3.195
132,Virtual Machine,West US,Windows,OS only,Standard,GPU,NCsv3-series,NC6s v3,1,6,112,736,4.254
133,Virtual Machine,West US,Windows,OS only,Standard,GPU,NCsv3-series,NC12s v3,1,12,224,1474,17.016
134,Virtual Machine,West US,Windows,OS only,Standard,GPU,NCsv3-series,NC24s v3,1,24,448,2948,17.016
135,Virtual Machine,West US,Windows,OS only,Standard,GPU,NCsv3-series,NC24rs v3,1,24,448,2948,18.607
136,Virtual Machine,West US,Windows,OS only,Standard,GPU,NVv3-series,NV12s v3,1,12,112,736,1.692
137,Virtual Machine,West US,Windows,OS only,Standard,GPU,NVv3-series,NV24s v3,1,24,224,1474,3.384
138,Virtual Machine,West US,Windows,OS only,Standard,GPU,NVv3-series,NV48s v3,1,48,448,2948,6.768
139,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,A-series,A8,1,8,56,382,1.466
140,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,A-series,A9,1,16,112,382,2.933
141,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,A-series,A10,1,8,56,382,1.173
142,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,A-series,A11,1,16,112,382,2.346
143,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series,H8,1,8,56,1000,1.16
144,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series,H16,1,16,112,2000,3.218
145,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series,H8m,1,8,112,1000,2.156
146,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series,H16m,1,16,224,2000,4.311
147,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series,H16mr,1,16,224,2000,4.742
148,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series,H16r,1,16,112,2000,3.54
149,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series promo,H8,1,8,56,1000,0.95
150,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series promo,H16,1,16,112,2000,1.901
151,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series promo,H8m,1,8,112,1000,1.148
152,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series promo,H16m,1,16,224,20000,2.297
153,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series promo,H16mr,1,16,224,2000,2.453
154,Virtual Machine,West US,Windows,OS only,Standard,High performance compute,H-series promo,H16r,1,16,112,2000,2.017
155,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,D-series,D11,1,2,14,100,0.264
156,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,D-series,D12,1,4,28,200,0.528
157,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,D-series,D13,1,8,56,400,1.056
158,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,D-series,D14,1,16,112,800,2.111
159,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,DS-series,D11s,1,2,14,28,0.264
160,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,DS-series,D12s,1,4,28,56,0.528
161,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,DS-series,D13s,1,8,56,112,1.056
162,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,DS-series,D14s,1,16,112,224,2.111
163,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D11 v2,2,2,14,100,0.264
164,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D12 v2,2,4,28,200,0.528
165,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D13 v2,2,8,56,400,1.056
166,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D14 v2,2,16,112,800,2.111
167,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D15 v2,2,20,140,1000,2.639
168,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D15i v2,2,20,140,1000,2.639
169,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D11 v2,2,2,14,28,0.264
170,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D12 v2,2,4,28,56,0.528
171,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D13 v2,2,8,56,112,1.056
172,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D14 v2,2,16,112,224,2.111
173,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D15 v2,2,20,140,280,2.639
174,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D15i v2,2,20,140,280,2.639
175,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E2a v4,2,2,16,50,0.232
176,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E4a v4,2,4,32,100,0.464
177,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E8a v4,2,8,64,200,0.928
178,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E16a v4,2,16,128,400,1.856
179,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E20a v4,2,20,160,500,2.32
180,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E32a v4,2,32,256,800,3.712
181,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E48a v4,2,48,384,1200,5.568
182,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E64a v4,2,64,432,1600,7.424
183,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E96a v4,2,96,672,2400,11.136
