No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
135,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E8d v4,2,8,64,300,1.016
136,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E16d v4,2,16,128,600,2.032
137,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E20d v4,2,20,160,750,2.54
138,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E32d v4,2,32,256,1200,2.592
139,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E48d v4,2,48,384,1800,6.096
140,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E64d v4,2,64,504,2400,8.128
141,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E2 v3,2,2,16,50,0.24
142,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E4 v3,2,4,32,100,0.48
143,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E8 v3,2,8,64,200,0.928
144,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E16 v3,2,16,128,800,1.856
145,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E20 v3,2,20,160,500,2.4
146,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E32 v3,2,32,256,800,3.712
147,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E48 v3,2,48,384,1200,5.568
148,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E64i v3,2,64,432,1600,6.976
149,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E64 v3,2,64,432,1600,6.976
150,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E2 v4,2,2,16,0,0.232
151,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E4 v4,2,4,32,0,0.464
152,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E8 v4,2,8,64,0,0.928
153,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E16 v4,2,16,128,0,1.856
154,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E32 v4,2,32,256,0,3.712
155,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E48 v4,2,48,384,0,5.568
156,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E64 v4,2,64,504,0,7.424
157,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E2s v3,2,2,16,32,0.24
158,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E4s v3,2,4,32,64,0.18
159,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E8s v3,2,8,64,128,0.928
160,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E16s v3,2,16,128,256,1.856
161,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E20s v3,2,20,160,320,2.4
162,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E32s v3,2,32,256,512,3.712
163,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E48s v3,2,48,384,768,5.568
164,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E64is v3,2,64,432,864,6.976
165,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E64s v3,2,64,432,864,6.976
166,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E2s v4,2,2,16,0,0.232
167,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E4s v4,2,4,32,0,0.464
168,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E8s v4,2,8,64,0,0.928
169,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E16s v4,2,16,128,0,1.856
170,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E20s v4,2,20,160,0,2.32
171,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E32s v4,2,32,256,0,3.712
172,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E48s v4,2,48,384,0,5.568
173,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E64 v4,2,64,504,0,7.424
174,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E80is v4,2,80,504,2400,9.279
175,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M64,2,64,1024,7168,11.614
176,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M128,2,128,2048,14336,23.227
177,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M32ls,2,32,256,1024,4.673
178,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M64ls,2,64,512,2048,9.347
179,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M64ms v2,2,64,1792,7168,20.291
180,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M128m,2,128,3892,14336,40.582
181,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M8-2ms,2,8,219,256,2.365
182,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M8-4ms,2,8,219,256,2.365
